BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_009856235.1_ASM985623v1_genomic-NZ_WMER01000005.1.region001	NZ_WMER01000005.1	NZ_WMER01000005.1 Virgibacillus massiliensis strain 22513_12_Sand NODE_5_length_210107_cov_41.9161, whole genome shotgun sequence	terpene	Terpene		
GCF_009856235.1_ASM985623v1_genomic-NZ_WMER01000007.1.region001	NZ_WMER01000007.1	NZ_WMER01000007.1 Virgibacillus massiliensis strain 22513_12_Sand NODE_7_length_136252_cov_35.8719, whole genome shotgun sequence	RiPP-like	RiPPs		
GCF_009856265.1_ASM985626v1_genomic-NZ_WMES01000002.1.region001	NZ_WMES01000002.1	NZ_WMES01000002.1 Virgibacillus halodenitrificans strain 22512_25_Salt NODE_2_length_215017_cov_6.91374, whole genome shotgun sequence	T3PKS	PKSother		
GCF_009856265.1_ASM985626v1_genomic-NZ_WMES01000007.1.region001	NZ_WMES01000007.1	NZ_WMES01000007.1 Virgibacillus halodenitrificans strain 22512_25_Salt NODE_7_length_134843_cov_5.26521, whole genome shotgun sequence	T3PKS	PKSother		
GCF_009856265.1_ASM985626v1_genomic-NZ_WMES01000028.1.region001	NZ_WMES01000028.1	NZ_WMES01000028.1 Virgibacillus halodenitrificans strain 22512_25_Salt NODE_28_length_60744_cov_6.72255, whole genome shotgun sequence	terpene	Terpene		
GCF_009856265.1_ASM985626v1_genomic-NZ_WMES01000039.1.region001	NZ_WMES01000039.1	NZ_WMES01000039.1 Virgibacillus halodenitrificans strain 22512_25_Salt NODE_39_length_28576_cov_6.39966, whole genome shotgun sequence	terpene	Terpene		
GCF_009856265.1_ASM985626v1_genomic-NZ_WMES01000049.1.region001	NZ_WMES01000049.1	NZ_WMES01000049.1 Virgibacillus halodenitrificans strain 22512_25_Salt NODE_49_length_14062_cov_4.75235, whole genome shotgun sequence	ectoine	Others		
GCF_010994035.1_ASM1099403v1_genomic-NZ_WIXN01000001.1.region001	NZ_WIXN01000001.1	NZ_WIXN01000001.1 Virgibacillus sp. YIM 98842 Scaffold1, whole genome shotgun sequence	terpene	Terpene		
GCF_010994035.1_ASM1099403v1_genomic-NZ_WIXN01000006.1.region001	NZ_WIXN01000006.1	NZ_WIXN01000006.1 Virgibacillus sp. YIM 98842 Scaffold6, whole genome shotgun sequence	lanthipeptide-class-ii	RiPPs		
GCF_010994035.1_ASM1099403v1_genomic-NZ_WIXN01000013.1.region001	NZ_WIXN01000013.1	NZ_WIXN01000013.1 Virgibacillus sp. YIM 98842 Scaffold13, whole genome shotgun sequence	ectoine	Others		
GCF_010994035.1_ASM1099403v1_genomic-NZ_WIXN01000013.1.region002	NZ_WIXN01000013.1	NZ_WIXN01000013.1 Virgibacillus sp. YIM 98842 Scaffold13, whole genome shotgun sequence	T3PKS	PKSother		
GCF_010994035.1_ASM1099403v1_genomic-NZ_WIXN01000023.1.region001	NZ_WIXN01000023.1	NZ_WIXN01000023.1 Virgibacillus sp. YIM 98842 Scaffold23, whole genome shotgun sequence	T3PKS	PKSother		
GCF_013393565.1_ASM1339356v1_genomic-NZ_JABXHF010000003.1.region001	NZ_JABXHF010000003.1	NZ_JABXHF010000003.1 MAG: Virgibacillus sp. isolate KG7 NODE_93_length_105996, whole genome shotgun sequence	T3PKS	PKSother		
GCF_013393565.1_ASM1339356v1_genomic-NZ_JABXHF010000038.1.region001	NZ_JABXHF010000038.1	NZ_JABXHF010000038.1 MAG: Virgibacillus sp. isolate KG7 NODE_453_length_39071, whole genome shotgun sequence	NRPS.transAT-PKS	PKS-NRP_Hybrids		
GCF_013393565.1_ASM1339356v1_genomic-NZ_JABXHF010000055.1.region001	NZ_JABXHF010000055.1	NZ_JABXHF010000055.1 MAG: Virgibacillus sp. isolate KG7 NODE_632_length_29930, whole genome shotgun sequence	ectoine	Others		
GCF_013393565.1_ASM1339356v1_genomic-NZ_JABXHF010000095.1.region001	NZ_JABXHF010000095.1	NZ_JABXHF010000095.1 MAG: Virgibacillus sp. isolate KG7 NODE_1791_length_12696, whole genome shotgun sequence	thiopeptide.LAP	RiPPs		
GCF_013393565.1_ASM1339356v1_genomic-NZ_JABXHF010000101.1.region001	NZ_JABXHF010000101.1	NZ_JABXHF010000101.1 MAG: Virgibacillus sp. isolate KG7 NODE_2084_length_11052, whole genome shotgun sequence	HR-T2PKS	Others		
GCF_013393565.1_ASM1339356v1_genomic-NZ_JABXHF010000119.1.region001	NZ_JABXHF010000119.1	NZ_JABXHF010000119.1 MAG: Virgibacillus sp. isolate KG7 NODE_5363_length_4730, whole genome shotgun sequence	T3PKS	PKSother		
GCF_014638995.1_ASM1463899v1_genomic-NZ_BMFR01000001.1.region001	NZ_BMFR01000001.1	NZ_BMFR01000001.1 Virgibacillus oceani strain CGMCC 1.12754 sequence01, whole genome shotgun sequence	T3PKS	PKSother		
GCF_014638995.1_ASM1463899v1_genomic-NZ_BMFR01000012.1.region001	NZ_BMFR01000012.1	NZ_BMFR01000012.1 Virgibacillus oceani strain CGMCC 1.12754 sequence12, whole genome shotgun sequence	terpene	Terpene		
GCF_014638995.1_ASM1463899v1_genomic-NZ_BMFR01000016.1.region001	NZ_BMFR01000016.1	NZ_BMFR01000016.1 Virgibacillus oceani strain CGMCC 1.12754 sequence16, whole genome shotgun sequence	T3PKS	PKSother		
GCF_014638995.1_ASM1463899v1_genomic-NZ_BMFR01000031.1.region001	NZ_BMFR01000031.1	NZ_BMFR01000031.1 Virgibacillus oceani strain CGMCC 1.12754 sequence31, whole genome shotgun sequence	ectoine	Others		
GCF_014647615.1_ASM1464761v1_genomic-NZ_BMPN01000001.1.region001	NZ_BMPN01000001.1	NZ_BMPN01000001.1 Virgibacillus kapii strain JCM 30071 sequence01, whole genome shotgun sequence	T3PKS	PKSother		
GCF_014647615.1_ASM1464761v1_genomic-NZ_BMPN01000001.1.region002	NZ_BMPN01000001.1	NZ_BMPN01000001.1 Virgibacillus kapii strain JCM 30071 sequence01, whole genome shotgun sequence	NRP-metallophore.NRPS	Others		
GCF_014647615.1_ASM1464761v1_genomic-NZ_BMPN01000003.1.region001	NZ_BMPN01000003.1	NZ_BMPN01000003.1 Virgibacillus kapii strain JCM 30071 sequence03, whole genome shotgun sequence	betalactone	Others		
GCF_014647615.1_ASM1464761v1_genomic-NZ_BMPN01000003.1.region002	NZ_BMPN01000003.1	NZ_BMPN01000003.1 Virgibacillus kapii strain JCM 30071 sequence03, whole genome shotgun sequence	terpene	Terpene		
GCF_014647615.1_ASM1464761v1_genomic-NZ_BMPN01000005.1.region001	NZ_BMPN01000005.1	NZ_BMPN01000005.1 Virgibacillus kapii strain JCM 30071 sequence05, whole genome shotgun sequence	terpene	Terpene		
GCF_014647615.1_ASM1464761v1_genomic-NZ_BMPN01000009.1.region001	NZ_BMPN01000009.1	NZ_BMPN01000009.1 Virgibacillus kapii strain JCM 30071 sequence09, whole genome shotgun sequence	T3PKS	PKSother		
GCF_014647615.1_ASM1464761v1_genomic-NZ_BMPN01000009.1.region002	NZ_BMPN01000009.1	NZ_BMPN01000009.1 Virgibacillus kapii strain JCM 30071 sequence09, whole genome shotgun sequence	ectoine	Others		
GCF_014656855.1_ASM1465685v1_genomic-NZ_JACWEZ010000003.1.region001	NZ_JACWEZ010000003.1	NZ_JACWEZ010000003.1 Virgibacillus halodenitrificans strain VKM B-3472D NODE_3_length_397592_cov_204.271155, whole genome shotgun sequence	T3PKS	PKSother		
GCF_014656855.1_ASM1465685v1_genomic-NZ_JACWEZ010000004.1.region001	NZ_JACWEZ010000004.1	NZ_JACWEZ010000004.1 Virgibacillus halodenitrificans strain VKM B-3472D NODE_4_length_332481_cov_150.530815, whole genome shotgun sequence	T3PKS	PKSother		
GCF_014656855.1_ASM1465685v1_genomic-NZ_JACWEZ010000005.1.region001	NZ_JACWEZ010000005.1	NZ_JACWEZ010000005.1 Virgibacillus halodenitrificans strain VKM B-3472D NODE_5_length_258954_cov_205.312384, whole genome shotgun sequence	terpene	Terpene		
GCF_014656855.1_ASM1465685v1_genomic-NZ_JACWEZ010000016.1.region001	NZ_JACWEZ010000016.1	NZ_JACWEZ010000016.1 Virgibacillus halodenitrificans strain VKM B-3472D NODE_16_length_70890_cov_155.556127, whole genome shotgun sequence	ectoine	Others		
GCF_014656855.1_ASM1465685v1_genomic-NZ_JACWEZ010000026.1.region001	NZ_JACWEZ010000026.1	NZ_JACWEZ010000026.1 Virgibacillus halodenitrificans strain VKM B-3472D NODE_26_length_19963_cov_177.629689, whole genome shotgun sequence	terpene	Terpene		
GCF_014905415.1_ASM1490541v1_genomic-NZ_BNEO01000001.1.region001	NZ_BNEO01000001.1	NZ_BNEO01000001.1 Virgibacillus salexigens strain DSM 11483 NODE_1, whole genome shotgun sequence	terpene	Terpene		
GCF_014905415.1_ASM1490541v1_genomic-NZ_BNEO01000001.1.region002	NZ_BNEO01000001.1	NZ_BNEO01000001.1 Virgibacillus salexigens strain DSM 11483 NODE_1, whole genome shotgun sequence	betalactone	Others		
GCF_014905415.1_ASM1490541v1_genomic-NZ_BNEO01000002.1.region001	NZ_BNEO01000002.1	NZ_BNEO01000002.1 Virgibacillus salexigens strain DSM 11483 NODE_2, whole genome shotgun sequence	T3PKS	PKSother		
GCF_014905415.1_ASM1490541v1_genomic-NZ_BNEO01000002.1.region002	NZ_BNEO01000002.1	NZ_BNEO01000002.1 Virgibacillus salexigens strain DSM 11483 NODE_2, whole genome shotgun sequence	ectoine	Others		
GCF_014905415.1_ASM1490541v1_genomic-NZ_BNEO01000002.1.region003	NZ_BNEO01000002.1	NZ_BNEO01000002.1 Virgibacillus salexigens strain DSM 11483 NODE_2, whole genome shotgun sequence	T3PKS	PKSother		
GCF_014905415.1_ASM1490541v1_genomic-NZ_BNEO01000002.1.region004	NZ_BNEO01000002.1	NZ_BNEO01000002.1 Virgibacillus salexigens strain DSM 11483 NODE_2, whole genome shotgun sequence	NRP-metallophore.NRPS	Others		
GCF_014905415.1_ASM1490541v1_genomic-NZ_BNEO01000005.1.region001	NZ_BNEO01000005.1	NZ_BNEO01000005.1 Virgibacillus salexigens strain DSM 11483 NODE_5, whole genome shotgun sequence	terpene	Terpene		
GCF_016908515.1_ASM1690851v1_genomic-NZ_JAFBEA010000001.1.region001	NZ_JAFBEA010000001.1	NZ_JAFBEA010000001.1 Virgibacillus halotolerans strain DSM 25060 Ga0454041_01, whole genome shotgun sequence	ectoine	Others		
GCF_016908515.1_ASM1690851v1_genomic-NZ_JAFBEA010000001.1.region002	NZ_JAFBEA010000001.1	NZ_JAFBEA010000001.1 Virgibacillus halotolerans strain DSM 25060 Ga0454041_01, whole genome shotgun sequence	T3PKS	PKSother		
GCF_016908515.1_ASM1690851v1_genomic-NZ_JAFBEA010000002.1.region001	NZ_JAFBEA010000002.1	NZ_JAFBEA010000002.1 Virgibacillus halotolerans strain DSM 25060 Ga0454041_02, whole genome shotgun sequence	NRP-metallophore.NRPS	Others		
GCF_016908515.1_ASM1690851v1_genomic-NZ_JAFBEA010000003.1.region001	NZ_JAFBEA010000003.1	NZ_JAFBEA010000003.1 Virgibacillus halotolerans strain DSM 25060 Ga0454041_03, whole genome shotgun sequence	terpene	Terpene		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000001.1.region001	NZ_JAJERH010000001.1	NZ_JAJERH010000001.1 Virgibacillus sp. AGTR 1, whole genome shotgun sequence	ectoine	Others		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000001.1.region002	NZ_JAJERH010000001.1	NZ_JAJERH010000001.1 Virgibacillus sp. AGTR 1, whole genome shotgun sequence	T3PKS	PKSother		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000003.1.region001	NZ_JAJERH010000003.1	NZ_JAJERH010000003.1 Virgibacillus sp. AGTR 3, whole genome shotgun sequence	terpene	Terpene		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000033.1.region001	NZ_JAJERH010000033.1	NZ_JAJERH010000033.1 Virgibacillus sp. AGTR 33, whole genome shotgun sequence	T3PKS	PKSother		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000045.1.region001	NZ_JAJERH010000045.1	NZ_JAJERH010000045.1 Virgibacillus sp. AGTR 45, whole genome shotgun sequence	terpene	Terpene		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000048.1.region001	NZ_JAJERH010000048.1	NZ_JAJERH010000048.1 Virgibacillus sp. AGTR 48, whole genome shotgun sequence	NRPS-like.transAT-PKS-like.NRPS	PKS-NRP_Hybrids		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000054.1.region001	NZ_JAJERH010000054.1	NZ_JAJERH010000054.1 Virgibacillus sp. AGTR 54, whole genome shotgun sequence	NRPS	NRPS		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000060.1.region001	NZ_JAJERH010000060.1	NZ_JAJERH010000060.1 Virgibacillus sp. AGTR 60, whole genome shotgun sequence	RRE-containing	RiPPs		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000065.1.region001	NZ_JAJERH010000065.1	NZ_JAJERH010000065.1 Virgibacillus sp. AGTR 65, whole genome shotgun sequence	NRP-metallophore.NRPS	Others		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000066.1.region001	NZ_JAJERH010000066.1	NZ_JAJERH010000066.1 Virgibacillus sp. AGTR 66, whole genome shotgun sequence	LAP	RiPPs		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000137.1.region001	NZ_JAJERH010000137.1	NZ_JAJERH010000137.1 Virgibacillus sp. AGTR 137, whole genome shotgun sequence	NRPS	NRPS		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000143.1.region001	NZ_JAJERH010000143.1	NZ_JAJERH010000143.1 Virgibacillus sp. AGTR 143, whole genome shotgun sequence	NRPS	NRPS		
GCF_016919725.2_ASM1691972v2_genomic-NZ_JAJERH010000147.1.region001	NZ_JAJERH010000147.1	NZ_JAJERH010000147.1 Virgibacillus sp. AGTR 147, whole genome shotgun sequence	NRPS	NRPS		
GCF_017874115.1_ASM1787411v1_genomic-NZ_JAGGKX010000001.1.region001	NZ_JAGGKX010000001.1	NZ_JAGGKX010000001.1 Virgibacillus natechei strain DSM 25609 Ga0454132_01, whole genome shotgun sequence	T3PKS	PKSother		
GCF_017874115.1_ASM1787411v1_genomic-NZ_JAGGKX010000002.1.region001	NZ_JAGGKX010000002.1	NZ_JAGGKX010000002.1 Virgibacillus natechei strain DSM 25609 Ga0454132_02, whole genome shotgun sequence	terpene	Terpene		
GCF_017874115.1_ASM1787411v1_genomic-NZ_JAGGKX010000004.1.region001	NZ_JAGGKX010000004.1	NZ_JAGGKX010000004.1 Virgibacillus natechei strain DSM 25609 Ga0454132_04, whole genome shotgun sequence	betalactone.ectoine	Others		
GCF_017874115.1_ASM1787411v1_genomic-NZ_JAGGKX010000011.1.region001	NZ_JAGGKX010000011.1	NZ_JAGGKX010000011.1 Virgibacillus natechei strain DSM 25609 Ga0454132_11, whole genome shotgun sequence	T3PKS	PKSother		
GCF_017874635.1_ASM1787463v1_genomic-NZ_JAGIKX010000001.1.region001	NZ_JAGIKX010000001.1	NZ_JAGIKX010000001.1 Virgibacillus alimentarius strain DSM 25790 Ga0454133_01, whole genome shotgun sequence	T3PKS	PKSother		
GCF_017874635.1_ASM1787463v1_genomic-NZ_JAGIKX010000004.1.region001	NZ_JAGIKX010000004.1	NZ_JAGIKX010000004.1 Virgibacillus alimentarius strain DSM 25790 Ga0454133_04, whole genome shotgun sequence	ectoine	Others		
GCF_017874635.1_ASM1787463v1_genomic-NZ_JAGIKX010000006.1.region001	NZ_JAGIKX010000006.1	NZ_JAGIKX010000006.1 Virgibacillus alimentarius strain DSM 25790 Ga0454133_06, whole genome shotgun sequence	terpene	Terpene		
GCF_017874635.1_ASM1787463v1_genomic-NZ_JAGIKX010000014.1.region001	NZ_JAGIKX010000014.1	NZ_JAGIKX010000014.1 Virgibacillus alimentarius strain DSM 25790 Ga0454133_14, whole genome shotgun sequence	lanthipeptide-class-ii	RiPPs		
GCF_017874635.1_ASM1787463v1_genomic-NZ_JAGIKX010000033.1.region001	NZ_JAGIKX010000033.1	NZ_JAGIKX010000033.1 Virgibacillus alimentarius strain DSM 25790 Ga0454133_33, whole genome shotgun sequence	T3PKS	PKSother		
GCF_017874635.1_ASM1787463v1_genomic-NZ_JAGIKX010000039.1.region001	NZ_JAGIKX010000039.1	NZ_JAGIKX010000039.1 Virgibacillus alimentarius strain DSM 25790 Ga0454133_39, whole genome shotgun sequence	betalactone	Others		
GCF_018075365.1_ASM1807536v1_genomic-NZ_CP073011.1.region001	NZ_CP073011.1	NZ_CP073011.1 Virgibacillus pantothenticus strain DSM 26 chromosome, complete genome	lanthipeptide-class-ii	RiPPs		
GCF_018075365.1_ASM1807536v1_genomic-NZ_CP073011.1.region002	NZ_CP073011.1	NZ_CP073011.1 Virgibacillus pantothenticus strain DSM 26 chromosome, complete genome	T3PKS	PKSother		
GCF_018075365.1_ASM1807536v1_genomic-NZ_CP073011.1.region003	NZ_CP073011.1	NZ_CP073011.1 Virgibacillus pantothenticus strain DSM 26 chromosome, complete genome	RiPP-like	RiPPs		
GCF_018075365.1_ASM1807536v1_genomic-NZ_CP073011.1.region004	NZ_CP073011.1	NZ_CP073011.1 Virgibacillus pantothenticus strain DSM 26 chromosome, complete genome	T3PKS.ectoine	Others		
GCF_018075365.1_ASM1807536v1_genomic-NZ_CP073011.1.region005	NZ_CP073011.1	NZ_CP073011.1 Virgibacillus pantothenticus strain DSM 26 chromosome, complete genome	terpene	Terpene		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000001.1.region001	NZ_JAGSOT010000001.1	NZ_JAGSOT010000001.1 Virgibacillus salarius strain 720a NODE_1_length_157856_cov_63.578987, whole genome shotgun sequence	terpene	Terpene		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000024.1.region001	NZ_JAGSOT010000024.1	NZ_JAGSOT010000024.1 Virgibacillus salarius strain 720a NODE_24_length_56948_cov_58.858274, whole genome shotgun sequence	T3PKS	PKSother		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000025.1.region001	NZ_JAGSOT010000025.1	NZ_JAGSOT010000025.1 Virgibacillus salarius strain 720a NODE_25_length_56625_cov_66.866721, whole genome shotgun sequence	NRPS	NRPS		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000029.1.region001	NZ_JAGSOT010000029.1	NZ_JAGSOT010000029.1 Virgibacillus salarius strain 720a NODE_29_length_52228_cov_58.187559, whole genome shotgun sequence	T3PKS	PKSother		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000030.1.region001	NZ_JAGSOT010000030.1	NZ_JAGSOT010000030.1 Virgibacillus salarius strain 720a NODE_30_length_48602_cov_65.856875, whole genome shotgun sequence	terpene	Terpene		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000039.1.region001	NZ_JAGSOT010000039.1	NZ_JAGSOT010000039.1 Virgibacillus salarius strain 720a NODE_39_length_41873_cov_59.383893, whole genome shotgun sequence	NRPS-like.transAT-PKS-like.NRPS	PKS-NRP_Hybrids		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000053.1.region001	NZ_JAGSOT010000053.1	NZ_JAGSOT010000053.1 Virgibacillus salarius strain 720a NODE_53_length_30624_cov_61.010296, whole genome shotgun sequence	RRE-containing	RiPPs		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000062.1.region001	NZ_JAGSOT010000062.1	NZ_JAGSOT010000062.1 Virgibacillus salarius strain 720a NODE_62_length_24017_cov_59.988656, whole genome shotgun sequence	NRP-metallophore.NRPS	Others		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000076.1.region001	NZ_JAGSOT010000076.1	NZ_JAGSOT010000076.1 Virgibacillus salarius strain 720a NODE_76_length_19116_cov_59.879404, whole genome shotgun sequence	ectoine	Others		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000115.1.region001	NZ_JAGSOT010000115.1	NZ_JAGSOT010000115.1 Virgibacillus salarius strain 720a NODE_115_length_4635_cov_63.760648, whole genome shotgun sequence	NRPS	NRPS		
GCF_018139605.1_ASM1813960v1_genomic-NZ_JAGSOT010000122.1.region001	NZ_JAGSOT010000122.1	NZ_JAGSOT010000122.1 Virgibacillus salarius strain 720a NODE_122_length_2756_cov_123.183720, whole genome shotgun sequence	NRPS	NRPS		
GCF_018383555.1_ASM1838355v1_genomic-NZ_JAHAMJ010000002.1.region001	NZ_JAHAMJ010000002.1	NZ_JAHAMJ010000002.1 Virgibacillus sp. 19R1-5 NODE_11_length_146695_cov_28.891832, whole genome shotgun sequence	lanthipeptide-class-ii	RiPPs		
GCF_018383555.1_ASM1838355v1_genomic-NZ_JAHAMJ010000011.1.region001	NZ_JAHAMJ010000011.1	NZ_JAHAMJ010000011.1 Virgibacillus sp. 19R1-5 NODE_9_length_222218_cov_28.032599, whole genome shotgun sequence	RiPP-like	RiPPs		
GCF_018383555.1_ASM1838355v1_genomic-NZ_JAHAMJ010000016.1.region001	NZ_JAHAMJ010000016.1	NZ_JAHAMJ010000016.1 Virgibacillus sp. 19R1-5 NODE_1_length_628707_cov_35.358413, whole genome shotgun sequence	terpene	Terpene		
GCF_018383555.1_ASM1838355v1_genomic-NZ_JAHAMJ010000023.1.region001	NZ_JAHAMJ010000023.1	NZ_JAHAMJ010000023.1 Virgibacillus sp. 19R1-5 NODE_18_length_41376_cov_31.986715, whole genome shotgun sequence	NRPS	NRPS		
GCF_018383555.1_ASM1838355v1_genomic-NZ_JAHAMJ010000025.1.region001	NZ_JAHAMJ010000025.1	NZ_JAHAMJ010000025.1 Virgibacillus sp. 19R1-5 NODE_4_length_427019_cov_27.501487, whole genome shotgun sequence	T3PKS	PKSother		
GCF_018383555.1_ASM1838355v1_genomic-NZ_JAHAMJ010000026.1.region001	NZ_JAHAMJ010000026.1	NZ_JAHAMJ010000026.1 Virgibacillus sp. 19R1-5 NODE_2_length_527065_cov_29.685098, whole genome shotgun sequence	T3PKS.ectoine	Others		
GCF_018403365.1_ASM1840336v1_genomic-NZ_BOSN01000001.1.region001	NZ_BOSN01000001.1	NZ_BOSN01000001.1 Virgibacillus pantothenticus strain J32TS6 sequence01, whole genome shotgun sequence	T3PKS	PKSother		
GCF_018403365.1_ASM1840336v1_genomic-NZ_BOSN01000001.1.region002	NZ_BOSN01000001.1	NZ_BOSN01000001.1 Virgibacillus pantothenticus strain J32TS6 sequence01, whole genome shotgun sequence	RiPP-like	RiPPs		
GCF_018403365.1_ASM1840336v1_genomic-NZ_BOSN01000001.1.region003	NZ_BOSN01000001.1	NZ_BOSN01000001.1 Virgibacillus pantothenticus strain J32TS6 sequence01, whole genome shotgun sequence	T3PKS.ectoine	Others		
GCF_018403365.1_ASM1840336v1_genomic-NZ_BOSN01000003.1.region001	NZ_BOSN01000003.1	NZ_BOSN01000003.1 Virgibacillus pantothenticus strain J32TS6 sequence03, whole genome shotgun sequence	terpene	Terpene		
GCF_018403365.1_ASM1840336v1_genomic-NZ_BOSN01000007.1.region001	NZ_BOSN01000007.1	NZ_BOSN01000007.1 Virgibacillus pantothenticus strain J32TS6 sequence07, whole genome shotgun sequence	lanthipeptide-class-ii	RiPPs		
GCF_018603665.1_ASM1860366v1_genomic-NZ_JAHFZL010000001.1.region001	NZ_JAHFZL010000001.1	NZ_JAHFZL010000001.1 Virgibacillus dakarensis strain Marseille-P3610 NODE_1_length_300176_cov_32.551543, whole genome shotgun sequence	T3PKS	PKSother		
GCF_018603665.1_ASM1860366v1_genomic-NZ_JAHFZL010000001.1.region002	NZ_JAHFZL010000001.1	NZ_JAHFZL010000001.1 Virgibacillus dakarensis strain Marseille-P3610 NODE_1_length_300176_cov_32.551543, whole genome shotgun sequence	T3PKS	PKSother		
GCF_018603665.1_ASM1860366v1_genomic-NZ_JAHFZL010000031.1.region001	NZ_JAHFZL010000031.1	NZ_JAHFZL010000031.1 Virgibacillus dakarensis strain Marseille-P3610 NODE_31_length_57210_cov_51.317783, whole genome shotgun sequence	RiPP-like	RiPPs		
GCF_018603665.1_ASM1860366v1_genomic-NZ_JAHFZL010000034.1.region001	NZ_JAHFZL010000034.1	NZ_JAHFZL010000034.1 Virgibacillus dakarensis strain Marseille-P3610 NODE_34_length_55181_cov_35.229030, whole genome shotgun sequence	ectoine	Others		
GCF_018603665.1_ASM1860366v1_genomic-NZ_JAHFZL010000048.1.region001	NZ_JAHFZL010000048.1	NZ_JAHFZL010000048.1 Virgibacillus dakarensis strain Marseille-P3610 NODE_48_length_32323_cov_51.658281, whole genome shotgun sequence	terpene	Terpene		
GCF_018916875.1_ASM1891687v1_genomic-NZ_JAHLNO010000004.1.region001	NZ_JAHLNO010000004.1	NZ_JAHLNO010000004.1 Virgibacillus proomii strain N4 N4_ctg00002, whole genome shotgun sequence	NRPS	NRPS		
GCF_018916875.1_ASM1891687v1_genomic-NZ_JAHLNO010000019.1.region001	NZ_JAHLNO010000019.1	NZ_JAHLNO010000019.1 Virgibacillus proomii strain N4 N4_ctg00001, whole genome shotgun sequence	phosphonate	Others		
GCF_018916875.1_ASM1891687v1_genomic-NZ_JAHLNO010000019.1.region002	NZ_JAHLNO010000019.1	NZ_JAHLNO010000019.1 Virgibacillus proomii strain N4 N4_ctg00001, whole genome shotgun sequence	T3PKS.ectoine	Others		
GCF_018916875.1_ASM1891687v1_genomic-NZ_JAHLNO010000029.1.region001	NZ_JAHLNO010000029.1	NZ_JAHLNO010000029.1 Virgibacillus proomii strain N4 N4_ctg00011, whole genome shotgun sequence	RiPP-like	RiPPs		
GCF_019037265.1_ASM1903726v1_genomic-NZ_JAHHXR010000001.1.region001	NZ_JAHHXR010000001.1	NZ_JAHHXR010000001.1 Virgibacillus pantothenticus strain 179-I 8A1 HS NODE_1_length_393745_cov_158.939683, whole genome shotgun sequence	T3PKS.ectoine	Others		
GCF_019037265.1_ASM1903726v1_genomic-NZ_JAHHXR010000002.1.region001	NZ_JAHHXR010000002.1	NZ_JAHHXR010000002.1 Virgibacillus pantothenticus strain 179-I 8A1 HS NODE_2_length_222915_cov_187.966038, whole genome shotgun sequence	terpene	Terpene		
GCF_019037265.1_ASM1903726v1_genomic-NZ_JAHHXR010000012.1.region001	NZ_JAHHXR010000012.1	NZ_JAHHXR010000012.1 Virgibacillus pantothenticus strain 179-I 8A1 HS NODE_12_length_146255_cov_158.606881, whole genome shotgun sequence	RiPP-like	RiPPs		
GCF_019037265.1_ASM1903726v1_genomic-NZ_JAHHXR010000019.1.region001	NZ_JAHHXR010000019.1	NZ_JAHHXR010000019.1 Virgibacillus pantothenticus strain 179-I 8A1 HS NODE_19_length_99084_cov_150.910602, whole genome shotgun sequence	T3PKS	PKSother		
GCF_019037265.1_ASM1903726v1_genomic-NZ_JAHHXR010000021.1.region001	NZ_JAHHXR010000021.1	NZ_JAHHXR010000021.1 Virgibacillus pantothenticus strain 179-I 8A1 HS NODE_21_length_92126_cov_199.179480, whole genome shotgun sequence	T1PKS.NRPS	PKS-NRP_Hybrids		
GCF_019037265.1_ASM1903726v1_genomic-NZ_JAHHXR010000045.1.region001	NZ_JAHHXR010000045.1	NZ_JAHHXR010000045.1 Virgibacillus pantothenticus strain 179-I 8A1 HS NODE_45_length_25347_cov_235.928967, whole genome shotgun sequence	lanthipeptide-class-ii	RiPPs		
